Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1515999080	2018-01-15 00:09:40	72.5230208333	3.09314663319e-09	1.33916088955e-10	1.5978164609	3.15362342183e+19	43.0	52.0	42.0	48.0	48.0	23.84	4.95	31.0	31.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.1589355469	0.0	349.961851863	23.84234138	0.0	78.0	6.484375	0.02555078125	3.136484375	36.0788660217	35.8578462768	25.8623046875	25.8154755663	25.7138477449	37.1330078125	32.209234901	
1515999980	2018-01-15 00:24:40	72.5334259259	3.11495661746e-09	1.32745020275e-10	1.5978164609	3.15362342183e+19	44.0	52.0	42.0	48.0	48.0	23.9	4.95	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2028808594	0.0	349.961851863	23.8651570177	0.0	79.0	-0.703125	0.0251953125	3.136640625	36.0788660217	35.8578462768	25.880859375	25.8154755663	25.7353915396	37.1291015625	32.2336497085	
1516000880	2018-01-15 00:39:40	72.5438425926	3.09314663319e-09	1.33916088955e-10	1.60908496264	3.15362342183e+19	44.0	52.0	42.0	48.0	48.0	23.84	4.94	31.0	31.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2028808594	0.0	349.88860744	23.8879726554	0.0	82.0	-0.60546875	0.025453125	3.136796875	36.0788660217	35.8578462768	25.9169921875	25.8513429373	25.7565234212	37.1123046875	32.2885830256	
1516001780	2018-01-15 00:54:39	72.5542708333	3.09314663319e-09	1.36289310752e-10	1.60908496264	3.15362342183e+19	44.0	52.0	42.0	48.0	48.0	23.84	4.95	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2578125	0.0	350.035096286	23.8879726554	0.0	76.0	-0.546875	0.02555859375	3.1369921875	36.0788660217	35.8578462768	25.9462890625	25.8878263947	25.7781196552	37.1111328125	32.2977385784	
1516002680	2018-01-15 01:09:40	72.5646759259	3.09314663319e-09	1.36289310752e-10	1.58662687305	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.98	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2578125	0.0	350.035096286	23.9336039308	0.0	74.0	-0.76171875	0.02514453125	3.13609375	36.0788660217	35.8578462768	25.974609375	25.8878263947	25.7991326913	37.104296875	32.3282570879	
1516003580	2018-01-15 01:24:40	72.5750925926	3.09314663319e-09	1.35097488734e-10	1.60908496264	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.96	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2578125	0.0	349.961851863	23.9564195685	0.0	75.0	0.4296875	0.025328125	3.1365234375	36.0788660217	35.8578462768	25.9951171875	25.9240345795	25.8220647455	37.0904296875	32.3404644917	
1516004480	2018-01-15 01:39:40	72.5855092593	3.09314663319e-09	1.35097488734e-10	1.62043293479	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.95	31.0	31.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2907714844	0.0	350.035096286	23.9792352062	0.0	75.0	-0.546875	0.02515234375	3.1365625	36.0788660217	35.8578462768	26.01171875	25.9601575608	25.8452800308	37.091796875	32.3587755974	
1516005380	2018-01-15 01:54:39	72.5959259259	3.11495661746e-09	1.33916088955e-10	1.60908496264	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.98	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3017578125	0.0	350.108340709	24.0020508438	0.0	88.0	8.9453125	0.02542578125	3.13671875	36.0788660217	35.8578462768	26.04296875	25.9953727978	25.8679766345	37.064453125	32.383190405	
1516006280	2018-01-15 02:09:39	72.6063425926	3.09314663319e-09	1.35097488734e-10	1.62043293479	3.15362342183e+19	44.0	52.0	42.0	48.0	48.0	23.84	4.96	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3237304688	0.0	349.88860744	24.0020508438	0.0	88.0	-0.72265625	0.02534765625	3.1366796875	36.0788660217	35.8578462768	26.060546875	25.9953727978	25.8909483821	37.06171875	32.4137089145	
1516007180	2018-01-15 02:24:40	72.6167592593	3.09314663319e-09	1.35097488734e-10	1.5978164609	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.96	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3566894531	0.0	349.961851863	24.0248664815	0.0	76.0	-0.83984375	0.0251640625	3.1364453125	36.0788660217	35.8578462768	26.068359375	26.030479892	25.9128812887	37.0630859375	32.4259163182	
